	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic
117	1920.12.21_ленин.снк_декрет_об использовании крыма для лечения трудящихся	1920.12.21	['ленин', 'снк']	['декрет']	['об использовании крыма для лечения трудящихся']	['об использовании крыма для лечения трудящихся']	True	True	True	False	False	False
118	1921.03.05_ленин_выступление.отчет.фрагмент_политический отчет_съезд ркпб 10	1921.03.05	['ленин']	['выступление', 'отчет', 'фрагмент']	['политический отчет']	['съезд ркпб 10']	False	True	False	False	True	True
119	1921.03.07_съезд ркпб 10_резолюция_о единстве партии	1921.03.07	['съезд ркпб 10']	['резолюция']	['о единстве партии']	['о единстве партии']	True	False	True	False	False	False
120	1921.03.07_цк ркпб.ркпб 10_отчет.фрагмент_о деятельности партии	1921.03.07	['цк ркпб', 'ркпб 10']	['отчет', 'фрагмент']	['о деятельности партии']	['о деятельности партии']	True	False	False	False	False	False
121	1921.05.13_ленин.снк_декрет_о домах отдыха	1921.05.13	['ленин', 'снк']	['декрет']	['о домах отдыха']	['о домах отдыха']	True	True	True	False	False	False
122	1921.08.02_ленин_обращение_обращение к международному пролетариату_голод	1921.08.02	['ленин']	['обращение']	['обращение к международному пролетариату']	['голод']	False	True	True	True	False	True
123	1921.12.15_ленин.снк.вцик.калинин.енукидзе_декрет_о лишении гражданства	1921.12.15	['ленин', 'снк', 'вцик', 'калинин', 'енукидзе']	['декрет']	['о лишении гражданства']	['о лишении гражданства']	True	True	True	False	False	False
124	1922.03.27_ленин_выступление.фрагмент.отчет_политический отчет_съезд ркпб 11	1922.03.27	['ленин']	['выступление', 'фрагмент', 'отчет']	['политический отчет']	['съезд ркпб 11']	False	True	False	False	True	True
125	1922.04.02_съезд ркпб 11_резолюция_о некоторых членах бывшей оппозиции	1922.04.02	['съезд ркпб 11']	['резолюция']	['о некоторых членах бывшей оппозиции']	['о некоторых членах бывшей оппозиции']	True	False	True	False	False	False
126	1922.12.23_ленин_статья.письмо_письмо к съезду_политическое завещание	1922.12.23	['ленин']	['статья', 'письмо']	['письмо к съезду']	['политическое завещание']	False	True	True	False	False	True
127	1922.12.25_ленин_статья.письмо_письмо к съезду продолжение_политическое завещание	1922.12.25	['ленин']	['статья', 'письмо']	['письмо к съезду продолжение']	['политическое завещание']	False	True	True	False	False	True
128	1922.12.27_ленин_статья.письмо_о придании законодательных функций госплану	1922.12.27	['ленин']	['статья', 'письмо']	['о придании законодательных функций госплану']	['о придании законодательных функций госплану']	False	True	True	False	False	False
129	1922.12.30_конференция съездов советов советских республик.всесоюзный съезд советов 1_декларация_об образовании ссср_образование ссср	1922.12.30	['конференция съездов советов советских республик', 'всесоюзный съезд советов 1']	['декларация']	['об образовании ссср']	['образование ссср']	True	False	True	False	False	True
130	1922.12.30_конференция съездов советов советских республик.всесоюзный съезд советов 1_договор_об образовании ссср_образование ссср	1922.12.30	['конференция съездов советов советских республик', 'всесоюзный съезд советов 1']	['договор']	['об образовании ссср']	['образование ссср']	True	False	True	False	False	True
131	1922.12.30_ленин_статья.записки_к вопросу о национальностях или об автономизации	1922.12.30	['ленин']	['статья', 'записки']	['к вопросу о национальностях или об автономизации']	['к вопросу о национальностях или об автономизации']	False	True	True	False	False	False
132	1922.12.31_ленин_статья.записки_к вопросу о национальностях или об автономизации продолжение 2	1922.12.31	['ленин']	['статья', 'записки']	['к вопросу о национальностях или об автономизации продолжение 2']	['к вопросу о национальностях или об автономизации продолжение 2']	False	True	True	False	False	False
133	1922.12.31_ленин_статья.записки_к вопросу о национальностях или об автономизации продолжение	1922.12.31	['ленин']	['статья', 'записки']	['к вопросу о национальностях или об автономизации продолжение']	['к вопросу о национальностях или об автономизации продолжение']	False	True	True	False	False	False
134	1923.01.02_ленин_статья.записки.дневник_странички из дневника о необходимости шефства рабочих над деревней	1923.01.02	['ленин']	['статья', 'записки', 'дневник']	['странички из дневника о необходимости шефства рабочих над деревней']	['странички из дневника о необходимости шефства рабочих над деревней']	False	True	True	False	False	False
135	1923.01.06_ленин_статья.записки_о кооперации	1923.01.06	['ленин']	['статья', 'записки']	['о кооперации']	['о кооперации']	False	True	True	False	False	False
136	1923.01.17_ленин_статья.записки_о нашей революции_ответ на записки суханова	1923.01.17	['ленин']	['статья', 'записки']	['о нашей революции']	['ответ на записки суханова']	False	True	True	False	False	True
137	1923.01.23_ленин_статья.предложение съезду партии.записки_как нам реорганизовать рабкрин	1923.01.23	['ленин']	['статья', 'предложение съезду партии', 'записки']	['как нам реорганизовать рабкрин']	['как нам реорганизовать рабкрин']	False	True	True	False	True	False
138	1923.03.02_ленин_статья.записки_лучше меньше да лучше	1923.03.02	['ленин']	['статья', 'записки']	['лучше меньше да лучше']	['лучше меньше да лучше']	False	True	True	False	False	False
139	1923.04.17_сталин_выступление.отчет_организационный отчет_съезд ркпб 12	1923.04.17	['сталин']	['выступление', 'отчет']	['организационный отчет']	['съезд ркпб 12']	False	True	False	False	True	True
140	1923.04.19_зиновьев_выступление.отчет.доклад.фрагмент_политический отчет цк_съезд ркпб 12	1923.04.19	['зиновьев']	['выступление', 'отчет', 'доклад', 'фрагмент']	['политический отчет цк']	['съезд ркпб 12']	False	False	False	False	True	True
141	1923.04.19_съезд ркпб 12_резолюция_по отчету цк	1923.04.19	['съезд ркпб 12']	['резолюция']	['по отчету цк']	['по отчету цк']	True	False	True	False	False	False
142	1923.04.25_съезд ркпб 12_резолюция_о постановке антирелигиозной агитации и пропаганды	1923.04.25	['съезд ркпб 12']	['резолюция']	['о постановке антирелигиозной агитации и пропаганды']	['о постановке антирелигиозной агитации и пропаганды']	True	False	True	False	False	False
143	1924.01.31_всесоюзный съезд советов 2_конституция_конституция ссср	1924.01.31	['всесоюзный съезд советов 2']	['конституция']	['конституция ссср']	['конституция ссср']	True	False	True	False	False	False
144	1924.04.16_калинин_выступление.доклад.фрагмент_о работе в деревне_съезд ркпб 13	1924.04.16	['калинин']	['выступление', 'доклад', 'фрагмент']	['о работе в деревне']	['съезд ркпб 13']	False	False	False	False	True	True
145	1924.05.27_съезд ркпб 13_резолюция.фрагмент_по отчету цк	1924.05.27	['съезд ркпб 13']	['резолюция', 'фрагмент']	['по отчету цк']	['по отчету цк']	True	False	True	False	False	False
146	1924.05.29_крупская_выступление.фрагмент.доклад_о работе в деревне_съезд ркпб 13	1924.05.29	['крупская']	['выступление', 'фрагмент', 'доклад']	['о работе в деревне']	['съезд ркпб 13']	False	False	False	False	True	True
147	1924.05.31_партконференция 13.съезд ркпб 13.конгресс коминтерна 5_резолюция_об итогах дискуссии и о мелкобуржуазном уклоне в партии_троцкий	1924.05.31	['партконференция 13', 'съезд ркпб 13', 'конгресс коминтерна 5']	['резолюция']	['об итогах дискуссии и о мелкобуржуазном уклоне в партии']	['троцкий']	True	False	True	False	False	True
148	1924.05.31_партконференция 13_резолюция_о партстроительстве партия в условиях нэпа_нэп	1924.05.31	['партконференция 13']	['резолюция']	['о партстроительстве партия в условиях нэпа']	['нэп']	True	False	True	False	False	True
149	1924.05.31_съезд ркпб 13_постановление.фрагмент_о работе среди молодежи	1924.05.31	['съезд ркпб 13']	['постановление', 'фрагмент']	['о работе среди молодежи']	['о работе среди молодежи']	True	False	True	False	False	False
